,description,file,id,len,name,label
0,"NZ_FQXZ01000077.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000077.1,3323,NZ_FQXZ01000077.1,Vibrio aerogenes
1,"NZ_FQXZ01000076.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000076.1,752,NZ_FQXZ01000076.1,Vibrio aerogenes
2,"NZ_FQXZ01000073.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000073.1,735,NZ_FQXZ01000073.1,Vibrio aerogenes
3,"NZ_FQXZ01000071.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000071.1,2512,NZ_FQXZ01000071.1,Vibrio aerogenes
4,"NZ_FQXZ01000070.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000070.1,1089,NZ_FQXZ01000070.1,Vibrio aerogenes
5,"NZ_FQXZ01000068.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000068.1,1662,NZ_FQXZ01000068.1,Vibrio aerogenes
6,"NZ_FQXZ01000067.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000067.1,4452,NZ_FQXZ01000067.1,Vibrio aerogenes
7,"NZ_FQXZ01000066.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000066.1,6487,NZ_FQXZ01000066.1,Vibrio aerogenes
8,"NZ_FQXZ01000062.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000062.1,9215,NZ_FQXZ01000062.1,Vibrio aerogenes
9,"NZ_FQXZ01000061.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000061.1,1952,NZ_FQXZ01000061.1,Vibrio aerogenes
